state,city
BC,Tsawassen
BC,Vancouver
CA,Brisbane
CA,Burbank
CA,Burlingame
CA,Glendale
CA,"Los Angeles"
CA,Pasadena
CA,"San Diego"
CA,"San Francisco"
CA,"San Jose"
CA,"San Rafael"
"Co. Cork",Cork
CT,Bridgewater
CT,Glendale
CT,"New Haven"
"Isle of Wight",Cowes
MA,Boston
MA,Brickhaven
MA,Cambridge
MA,"New Bedford"
NH,Nashua
NJ,Newark
NSW,Chatswood
NSW,"North Sydney"
NV,"Las Vegas"
NY,NYC
NY,"White Plains"
Osaka,Kita-ku
PA,Allentown
PA,Philadelphia
Pretoria,Hatfield
Québec,Montréal
Queensland,"South Brisbane"
Tokyo,Minato-ku
Victoria,"Glen Waverly"
Victoria,Melbourne
