customername,country
"Atelier graphique",France
"Signal Gift Stores",USA
"La Rochelle Gifts",France
"Mini Gifts Distributors Ltd.",USA
"Mini Wheels Co.",USA
"Land of Toys Inc.",USA
"Saveley & Henriot, Co.",France
"Muscle Machine Inc",USA
"Diecast Classics Inc.",USA
"Technics Stores Inc.",USA
"American Souvenirs Inc",USA
"Daedalus Designs Imports",France
"La Corne D'abondance, Co.",France
"Cambridge Collectables Co.",USA
"Gift Depot Inc.",USA
"Vitachrome Inc.",USA
"Auto-Moto Classics Inc.",USA
"Online Mini Collectables",USA
Toys4GrownUps.com,USA
"Mini Caravy",France
"Boards & Toys Co.",USA
"Collectable Mini Designs Co.",USA
"Alpha Cognac",France
"Lyon Souveniers",France
"Auto Associés & Cie.",France
"Marta's Replicas Co.",USA
"Mini Classics",USA
"Mini Creations Ltd.",USA
"Corporate Gift Ideas Co.",USA
"Tekni Collectables Inc.",USA
"Classic Gift Ideas, Inc",USA
"Men 'R' US Retailers, Ltd.",USA
"Marseille Mini Autos",France
"Reims Collectables",France
Gifts4AllAges.com,USA
"Online Diecast Creations Co.",USA
"Collectables For Less Inc.",USA
"Auto Canal+ Petit",France
"Classic Legends Inc.",USA
"Gift Ideas Corp.",USA
"The Sharp Gifts Warehouse",USA
"Super Scale Inc.",USA
"Microscale Inc.",USA
FunGiftIdeas.com,USA
"West Coast Collectables Co.",USA
"Motor Mint Distributors Inc.",USA
"Signal Collectibles Ltd.",USA
"Diecast Collectables",USA
