customername,country,creditLimit
"Signal Gift Stores",USA,71800.00
"La Rochelle Gifts",France,118200.00
"Mini Gifts Distributors Ltd.",USA,210500.00
"Mini Wheels Co.",USA,64600.00
"Land of Toys Inc.",USA,114900.00
"Saveley & Henriot, Co.",France,123900.00
"Muscle Machine Inc",USA,138500.00
"Diecast Classics Inc.",USA,100600.00
"Technics Stores Inc.",USA,84600.00
"American Souvenirs Inc",USA,0.00
"Cambridge Collectables Co.",USA,43400.00
"Gift Depot Inc.",USA,84300.00
"Vitachrome Inc.",USA,76400.00
"Auto-Moto Classics Inc.",USA,23000.00
"Online Mini Collectables",USA,68700.00
Toys4GrownUps.com,USA,90700.00
"Boards & Toys Co.",USA,11000.00
"Collectable Mini Designs Co.",USA,105000.00
"Marta's Replicas Co.",USA,123700.00
"Mini Classics",USA,102700.00
"Mini Creations Ltd.",USA,94500.00
"Corporate Gift Ideas Co.",USA,105000.00
"Tekni Collectables Inc.",USA,43000.00
"Classic Gift Ideas, Inc",USA,81100.00
"Men 'R' US Retailers, Ltd.",USA,57700.00
Gifts4AllAges.com,USA,41900.00
"Online Diecast Creations Co.",USA,114200.00
"Collectables For Less Inc.",USA,70700.00
"Classic Legends Inc.",USA,67500.00
"Gift Ideas Corp.",USA,49700.00
"The Sharp Gifts Warehouse",USA,77600.00
"Super Scale Inc.",USA,95400.00
"Microscale Inc.",USA,39800.00
FunGiftIdeas.com,USA,85800.00
"West Coast Collectables Co.",USA,55400.00
"Motor Mint Distributors Inc.",USA,72600.00
"Signal Collectibles Ltd.",USA,60300.00
"Diecast Collectables",USA,85100.00
