customerName,country,salesrepemployeenumber
"ANG Resellers",Spain,NULL
"Anton Designs, Ltd.",Spain,NULL
"Asian Shopping Network, Co",Singapore,NULL
"Asian Treasures, Inc.",Ireland,NULL
"BG&E Collectables",Switzerland,NULL
"Cramer Spezialitäten, Ltd",Germany,NULL
"Der Hund Imports",Germany,NULL
"Feuer Online Stores, Inc",Germany,NULL
"Franken Gifts, Co",Germany,NULL
"Havel & Zbyszek Co",Poland,NULL
"Kommission Auto",Germany,NULL
"Kremlin Collectables, Co.",Russia,NULL
"Lisboa Souveniers, Inc",Portugal,NULL
"Messner Shopping Network",Germany,NULL
"Mit Vergnügen & Co.",Germany,NULL
"Natürlich Autos",Germany,NULL
"Porto Imports Co.",Portugal,NULL
"Raanan Stores, Inc",Israel,NULL
"SAR Distributors, Co","South Africa",NULL
"Schuyler Imports",Netherlands,NULL
"Stuttgart Collectable Exchange",Germany,NULL
"Warburg Exchange",Germany,NULL
